1,Parcela Temporada Alta,45.00,10,450.00,45.00,495.00,1,1
2,Parcela Temporada Media,40.00,10,400.00,40.00,440.00,2,2
3,Parcela Temporada Baja,35.00,10,350.00,35.00,385.00,3,3
4,Parcela Temporada Alta,45.00,10,450.00,45.00,495.00,4,4
5,Parcela Temporada Media,40.00,10,400.00,40.00,440.00,5,5
6,Parcela Temporada Baja,35.00,10,350.00,35.00,385.00,6,1
7,Parcela Temporada Alta,45.00,10,450.00,45.00,495.00,7,2
8,Parcela Temporada Media,40.00,10,400.00,40.00,440.00,8,3
9,Parcela Temporada Baja,35.00,10,350.00,35.00,385.00,9,4
10,Parcela Temporada Alta,45.00,10,450.00,45.00,495.00,10,5
